"TOA5","10029","CR3000","10029","CR3000.Std.27.04","CPU:Final-24-06-2017.CR3","40325","Resumen"
"TIMESTAMP","RECORD","Strain(1)","Strain(2)","Strain(3)","Strain(4)","Strain(5)","Strain(6)","Strain_2(1)","Strain_2(2)"
"TS","RN","microstrain","microstrain","microstrain","microstrain","microstrain","microstrain","microstrain","microstrain"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2017-04-28 12:21:15.5",91,-14.90498,0.1320752,0.3916285,0.4443261,0.3490339,-0.1033985,0.7121857,-0.01290232
"2017-04-28 12:21:17",92,-15.22584,0.1489738,0.3427479,0.4276706,0.4217249,-0.05447564,0.5627279,0.03596304
"2017-04-28 12:21:18.5",93,-15.57876,0.09833845,0.2776514,0.411015,0.3671985,-0.005494324,0.5959275,0.08482841
"2017-04-28 12:21:20",94,-15.91564,0.04770307,0.2451032,0.3776443,0.4762512,-0.005494324,0.6291271,0.03596304
"2017-04-28 12:21:21.5",95,-16.15633,0.08143984,0.2776514,0.3276778,0.3308367,-0.02180195,0.6457865,0.03596304
"2017-04-28 12:21:23",96,-16.60551,0.06457146,0.2451032,0.3110223,0.3490339,-0.1033985,0.6623862,0.0522515
"2017-04-28 12:21:24.5",97,-16.8943,-0.03669932,0.212555,0.3776443,0.3490339,0.0108133,0.4796693,0.01967458
"2017-04-28 12:21:26",98,-17.27934,0.01393607,0.2776514,0.4609816,0.2945075,0.04342854,0.5627279,0.03596304
"2017-04-28 12:21:27.5",99,-17.4879,-0.03669932,0.4405092,0.3776443,0.4398895,-0.07078326,0.5461281,0.03596304
"2017-04-28 12:21:29",100,-17.88892,-0.03669932,0.3916285,0.4776371,0.3853631,-0.03810956,0.5461281,0.00338613
"2017-04-28 12:21:30.5",101,-18.11357,-0.03669932,0.456725,0.4942926,0.5125804,0.02712092,0.6125273,0.01967458
"2017-04-28 12:21:32",102,-18.54672,-0.03669932,0.5218214,0.4609816,0.4762512,-0.03810956,0.5128689,0.00338613
"2017-04-28 12:21:33.5",103,-18.86757,-0.1717069,0.6684633,0.5276634,0.3853631,-0.07078326,0.6125273,0.01967458
"2017-04-28 12:21:35",104,-18.97987,-0.1379701,0.3427479,0.4776371,0.4035277,-0.005494324,0.5461281,0.0522515
"2017-04-28 12:21:36.5",105,-19.46112,-0.1886055,0.4405092,0.5276634,0.4035277,-0.03810956,0.5461281,0.06853995
"2017-04-28 12:21:38",106,-19.79025,-0.2936852,0.5413037,0.5203206,0.4913559,-0.06166502,0.5684397,0.03012488
"2017-04-28 12:21:39.5",107,-19.99881,-0.3105536,0.3947783,0.5536913,0.4186649,-0.07797264,0.5518399,0.03012488
"2017-04-28 12:21:41",108,-20.33569,-0.1755158,0.6065168,0.6369689,0.4549941,0.003623916,0.6846978,0.06270179
"2017-04-28 12:21:42.5",109,-20.59241,-0.2599182,0.6065168,0.6536841,0.4731912,-0.02899133,0.6514983,0.04641334
"2017-04-28 12:21:44",110,-20.817,-0.2261512,0.5901843,0.6536841,0.5822114,-0.1105879,0.6348984,0.01383643
"2017-04-28 12:21:45.5",111,-21.05763,-0.1249107,0.6227325,0.6536841,0.5458822,-0.04535739,0.6846978,0.06270179
"2017-04-28 12:21:47",112,-21.29825,-0.1586474,0.8181385,0.7536172,0.6185732,-0.06166502,0.6846978,0.127914
"2017-04-28 12:21:48.5",113,-21.571,-0.2430498,0.6879457,0.7036507,0.654935,-0.1105879,0.8009561,0.06270179
"2017-04-28 12:21:50",114,-21.8437,-0.2430498,0.8019227,0.7036507,0.8184816,-0.09428026,0.8674148,0.03012488
"2017-04-28 12:21:51.5",115,-22.00415,-0.2767866,0.7855902,0.8702654,0.8003169,-0.1595692,0.9338737,0.03012488
"2017-04-28 12:21:53",116,-22.24478,-0.1924144,0.7692578,0.9036362,0.963896,-0.07797264,0.9504734,0.09533709
"2017-04-28 12:21:54.5",117,-22.46937,-0.1924144,0.753042,0.8202989,0.9820607,-0.1268955,0.9670733,0.03012488
"2017-04-28 12:21:56",118,-22.74212,-0.1586474,0.9321155,1.086906,1.018422,-0.02899133,1.016873,0.03012488
"2017-04-28 12:21:57.5",119,-22.95068,-0.2430498,0.8506867,0.9869734,1.127475,-0.06166502,1.033473,0.06270179
"2017-04-28 12:21:59",120,-23.17527,-0.09114369,1.013544,1.070251,1.181969,-0.1432616,1.099931,0.07899024
"2017-04-28 12:22:00.5",121,-23.33567,-0.1080121,1.029877,1.170244,1.14564,-0.1595692,1.066732,0.06270179
"2017-04-28 12:22:02",122,-23.56031,-0.1080121,1.013544,1.070251,1.218331,-0.07797264,1.083331,0.01383643
"2017-04-28 12:22:03.5",123,-23.73675,-0.0742753,0.9484479,1.286892,1.272857,-0.07797264,1.149731,0.03012488
"2017-04-28 12:22:05",124,-24.02553,-0.02363992,0.9809961,1.303548,1.272857,-0.1595692,1.083331,0.01383643
"2017-04-28 12:22:06.5",125,-24.25012,-0.09114369,1.062425,1.286892,1.418239,-0.1268955,1.149731,0.06270179
"2017-04-28 12:22:08",126,-24.36242,-0.1080121,1.062425,1.253581,1.400074,-0.1268955,1.083331,0.01383643
"2017-04-28 12:22:09.5",127,-24.61908,-0.1080121,1.046093,1.286892,1.418239,-0.1268955,1.149731,0.03012488
"2017-04-28 12:22:11",128,-24.8116,-0.1417791,0.9158998,1.270237,1.581818,-0.1432616,1.16639,0.04641334
"2017-04-28 12:22:12.5",129,-25.03619,-0.09114369,1.062425,1.270237,1.363713,-0.1921844,1.099931,0.01383643
"2017-04-28 12:22:14",130,-25.18061,-0.006741308,1.094973,1.370229,1.563653,-0.1758768,1.099931,-0.01874048
"2017-04-28 12:22:15.5",131,-25.32498,-0.006741308,1.388024,1.603526,1.690871,-0.2247997,1.16639,0.04641334
"2017-04-28 12:22:17",132,-25.56905,0.126664,1.447637,1.633792,1.689569,-0.1625502,1.228208,-0.07011625
"2017-04-28 12:22:18.5",133,-25.79364,0.1097957,1.138254,1.600481,1.871313,-0.1952239,1.11195,-0.0211925
"2017-04-28 12:22:20",134,-25.8418,-0.008373732,1.284896,1.817122,1.72593,-0.2278391,1.410925,-0.004904051
"2017-04-28 12:22:21.5",135,-26.21076,-0.008373732,1.366208,1.71713,1.780457,-0.1462425,1.410925,-0.07011625
"2017-04-28 12:22:23",136,-26.35518,0.1941678,1.545399,1.817122,1.707734,-0.1952239,1.178409,-0.004904051
"2017-04-28 12:22:24.5",137,-26.51558,0.1941678,1.545399,1.933771,1.962201,-0.1625502,1.410925,-0.004904051
"2017-04-28 12:22:26",138,-26.78833,0.2616716,1.154587,1.883744,1.76226,-0.1789162,1.327866,-0.03753934
"2017-04-28 12:22:27.5",139,-26.88459,0.2448032,1.08949,1.817122,1.798622,-0.2278391,1.261467,-0.0538278
"2017-04-28 12:22:29",140,-27.06102,0.2616716,1.317444,1.833778,1.834983,-0.2115315,1.195008,-0.03753934
"2017-04-28 12:22:30.5",141,-27.17332,0.2279348,1.431421,1.800407,1.816786,-0.1789162,1.278067,-0.07011625
"2017-04-28 12:22:32",142,-27.47814,0.1604008,1.252231,1.683759,1.816786,-0.1299349,1.178409,-0.0538278
"2017-04-28 12:22:33.5",143,-27.65462,0.1435324,1.561614,1.650448,1.72593,-0.1952239,1.04555,-0.0538278
"2017-04-28 12:22:35",144,-27.89525,0.05916027,1.219683,1.683759,1.580516,-0.2278391,0.9790918,-0.0211925
"2017-04-28 12:22:36.5",145,-28.16794,0.04226165,1.382541,1.733785,1.65324,-0.2767619,1.04555,-0.1026932
"2017-04-28 12:22:38",146,-28.28024,0.07602865,1.33366,1.783752,1.453299,-0.1789162,0.8960332,0.07653823
"2017-04-28 12:22:39.5",147,-28.4888,-0.0758775,1.415089,1.767096,1.562351,-0.1952239,0.9790918,-0.0211925
"2017-04-28 12:22:41",148,-28.77758,-0.0758775,1.447637,1.700414,1.526022,-0.2278391,0.9126925,-0.004904051
"2017-04-28 12:22:42.5",149,-28.90591,-0.09274588,1.46397,1.800407,1.453299,-0.2441467,0.8296339,0.0113844
"2017-04-28 12:22:44",150,-29.11447,-0.09274588,1.447637,1.783752,1.380608,-0.1625502,0.7964343,0.0113844
"2017-04-28 12:22:45.5",151,-29.35509,-0.0758775,1.382541,1.617137,1.326081,-0.1299349,0.7299755,-0.004904051
"2017-04-28 12:22:47",152,-29.54762,-0.1433813,1.382541,1.71713,1.362443,-0.1789162,0.7299755,-0.0211925
"2017-04-28 12:22:48.5",153,-29.72411,-0.1096143,1.415089,1.533799,1.326081,-0.2115315,0.6469169,0.02767286
"2017-04-28 12:22:50",154,-29.85244,-0.1771483,1.431421,1.650448,1.25339,-0.1789162,0.5638583,0.0113844
"2017-04-28 12:22:51.5",155,-30.15726,-0.1940167,1.268564,1.583766,1.217028,-0.2115315,0.5805177,0.04396131
"2017-04-28 12:22:53",156,-30.25352,-0.210885,1.203467,1.533799,1.289752,-0.04833836,0.5306587,0.02767286
"2017-04-28 12:22:54.5",157,-30.49414,-0.2952874,1.545399,1.533799,1.162535,-0.09731968,0.4642594,0.04396131
"2017-04-28 12:22:56",158,-30.62247,-0.3121558,1.138254,1.583766,1.235226,-0.2115315,0.6137173,0.0113844
"2017-04-28 12:22:57.5",159,-30.81775,-0.3303241,1.085057,1.631285,1.270513,-0.2466016,0.5435697,-0.006889024
"2017-04-28 12:22:59",160,-31.02631,-0.3134557,1.166369,1.414644,1.452257,-0.2629092,0.5601695,0.02568788
"2017-04-28 12:23:00.5",161,-31.15464,-0.2628203,1.150154,1.597974,1.28871,-0.1976788,0.4937702,0.009399431
"2017-04-28 12:23:02",162,-31.26693,-0.2796887,1.540966,1.497981,1.161461,-0.08346697,0.4771704,-0.07210122
"2017-04-28 12:23:03.5",163,-31.39532,-0.2628203,1.313011,1.697967,1.197822,-0.2466016,0.4605111,-0.05581276
"2017-04-28 12:23:05",164,-31.63595,-0.2459519,1.247798,1.597974,1.034243,-0.2629092,0.4937702,-0.07210122
"2017-04-28 12:23:06.5",165,-31.68406,-0.2628203,1.21525,1.79796,1.32504,-0.3118906,0.6764277,-0.006889024
"2017-04-28 12:23:08",166,-31.82847,-0.1784179,1.654943,1.664596,1.234184,-0.2792169,0.4937702,-0.03952432
"2017-04-28 12:23:09.5",167,-31.87658,-0.1953166,1.654943,1.764589,1.252349,-0.2955245,0.6266283,-0.02317748
"2017-04-28 12:23:11",168,-32.03698,-0.1446812,1.557181,1.897952,1.106967,-0.2792169,0.6432281,-0.03952432
"2017-04-28 12:23:12.5",169,-32.18139,-0.1109142,1.557181,1.847926,1.197822,-0.2955245,0.6100284,-0.03952432
"2017-04-28 12:23:14",170,-32.34179,-0.0771774,1.557181,1.83127,1.452257,-0.2955245,0.6100284,-0.07210122
"2017-04-28 12:23:15.5",171,-32.45409,-0.1109142,1.720039,1.98123,1.306875,-0.2792169,0.6598279,-0.05581276
"2017-04-28 12:23:17",172,-32.58242,-0.09404577,1.752587,1.847926,1.252349,-0.2955245,0.6764277,-0.03952432
"2017-04-28 12:23:18.5",173,-32.64661,-0.0434104,1.720039,1.864582,1.343204,-0.3608134,0.6266283,0.009399431
"2017-04-28 12:23:20",174,-32.80706,-0.009673626,1.720039,1.864582,1.270513,-0.3118906,0.7594863,-0.07210122
"2017-04-28 12:23:21.5",175,-32.95143,-0.02654201,1.752587,1.947919,1.397731,-0.3118906,0.6432281,-0.02317748
"2017-04-28 12:23:23",176,-33.12792,0.07472876,1.817684,1.931263,1.343204,-0.2466016,0.6432281,0.02568788
"2017-04-28 12:23:24.5",177,-33.22412,0.02409337,1.801468,1.897952,1.415928,-0.3445058,0.8093452,-0.006889024
"2017-04-28 12:23:26",178,-33.40061,-0.009673626,1.801468,2.014601,1.434092,-0.2955245,0.7760862,-0.03952432
"2017-04-28 12:23:27.5",179,-33.41665,0.09159715,1.720039,1.98123,1.452257,-0.2955245,0.8591447,-0.006889024
"2017-04-28 12:23:29",180,-33.5771,0.02409337,1.834016,2.064567,1.488619,-0.2139864,0.8093452,-0.05581276
"2017-04-28 12:23:30.5",181,-33.6894,0.1253641,1.947993,2.097878,1.488619,-0.3118906,0.7926859,-0.02317748
"2017-04-28 12:23:32",182,-33.6894,0.1422325,1.947993,2.131249,1.56131,-0.3281982,0.7262867,0.02568788
"2017-04-28 12:23:33.5",183,-33.89795,0.09159715,1.899113,2.064567,1.579474,-0.2955245,0.8425449,-0.07210122
"2017-04-28 12:23:35",184,-33.94606,0.1253641,1.882897,2.114534,1.543145,-0.3118906,0.693087,-0.07210122
"2017-04-28 12:23:36.5",185,-34.09042,0.2266349,1.964326,2.131249,1.524948,-0.3281982,0.8259451,-0.08838967
"2017-04-28 12:23:38",186,-34.23386,0.2945921,1.916962,2.082118,1.59803,-0.2947062,0.7275956,-0.0876891
"2017-04-28 12:23:39.5",187,-34.28197,0.3114605,1.868197,2.14874,1.507141,-0.3762443,0.5947375,-0.0224769
"2017-04-28 12:23:41",188,-34.34616,0.3452275,1.835533,2.065463,1.543503,-0.3273214,0.6943365,-0.1039776
"2017-04-28 12:23:42.5",189,-34.57075,0.3958629,1.965842,2.182111,1.743412,-0.3762443,0.7773951,-0.1365545
"2017-04-28 12:23:44",190,-34.53869,0.3958629,1.770436,2.14874,1.761609,-0.3273214,0.8604537,-0.05511219
"2017-04-28 12:23:45.5",191,-34.63494,0.4633667,1.721556,2.14874,1.816103,-0.408918,0.8604537,-0.1039776
"2017-04-28 12:23:47",192,-34.76327,0.4633667,2.030939,2.282104,1.761609,-0.3762443,0.7109958,-0.1039776
"2017-04-28 12:23:48.5",193,-34.82741,0.4802351,2.258893,2.248733,1.761609,-0.408918,0.827254,-0.07140064
"2017-04-28 12:23:50",194,-34.98787,0.5646375,1.819317,2.232078,1.761609,-0.3273214,0.827254,-0.1529013
"2017-04-28 12:23:51.5",195,-35.08413,0.5646375,2.112367,2.215422,1.816103,-0.408918,0.8106542,-0.1365545
"2017-04-28 12:23:53",196,-35.26056,0.6152728,1.933294,2.248733,1.797938,-0.408918,0.8604537,-0.1039776
"2017-04-28 12:23:54.5",197,-35.35682,0.5308704,2.144916,2.432063,1.761609,-0.3926104,0.827254,-0.03882373
"2017-04-28 12:23:56",198,-35.37286,0.6321412,2.193796,2.5154,1.797938,-0.3599367,0.8438538,-0.05511219
"2017-04-28 12:23:57.5",199,-35.50124,0.6827766,2.210129,2.33207,1.888826,-0.3926104,0.8770535,-0.1039776
"2017-04-28 12:23:59",200,-35.69371,0.5815058,2.144916,2.33207,1.852464,-0.4252256,0.9269124,-0.07140064
"2017-04-28 12:24:00.5",201,-35.8221,0.6321412,2.242677,2.48203,1.888826,-0.3926104,0.8604537,-0.0224769
"2017-04-28 12:24:02",202,-35.78997,0.6827766,2.177464,2.465374,1.797938,-0.3926104,0.9601121,-0.0876891
"2017-04-28 12:24:03.5",203,-36.01456,0.5983742,2.258893,2.415408,1.852464,-0.3926104,0.827254,-0.120266
"2017-04-28 12:24:05",204,-36.09479,0.699645,2.307774,2.448718,1.906991,-0.3926104,0.7275956,-0.0876891
"2017-04-28 12:24:06.5",205,-36.25525,0.6321412,2.193796,2.33207,1.743412,-0.3926104,0.7607953,-0.05511219
"2017-04-28 12:24:08",206,-36.38358,0.6152728,2.112367,2.165456,1.707082,-0.343629,0.7607953,-0.0224769
"2017-04-28 12:24:09.5",207,-36.5119,0.5477389,1.851865,2.282104,1.761609,-0.3926104,0.7441954,-0.05511219
"2017-04-28 12:24:11",208,-36.6242,0.5983742,2.144916,2.298759,1.507141,-0.3762443,0.6943365,-0.05511219
"2017-04-28 12:24:12.5",209,-36.7365,0.5308704,2.030939,2.348726,1.59803,-0.3110138,0.4784794,-0.07140064
